from,to ,death,team_1,team_2,motivation
a,adrger,eins,1,NA,NA
a,geolec,eins,2,4,NA
a,roaamu,eins,5,NA,NA
a,henarc,eins,7,NA,NA
a,emidan,zwei,7,NA,NA
a,emirac,eins,7,NA,NA
a,frecoo,eins,10,8,NA
a,antdob,eins,7,NA,NA
a,julmel,eins,6,NA,NA
a,hensom,eins,9,NA,NA
a,maxrys,eins,9,NA,NA
a,loumic,eins,11,NA,NA
a,adatol,eins,12,NA,NA
a,ludjoh,eins,12,NA,NA
a,engknu,eins,12,NA,NA
a,gusduf,eins,12,NA,NA
a,jeamir,eins,12,NA,NA
a,carwie,zwei,12,NA,NA
a,johkor,eins,12,7,NA
beroy,a,NA,NA,NA,1
b,carbor,eins,1,NA,NA
b,louber,eins,7,NA,NA
b,wilcol,eins,7,NA,NA
b,nichan,zwei,7,NA,NA
b,herklo,eins,10,NA,NA
b,hugeva,eins,7,NA,NA
b,antfou,eins,7,NA,NA
b,kolell,eins,11,14,NA
b,olemus,eins,13,NA,NA
b,persav,eins,13,NA,NA
b,berjen,eins,2,NA,NA
b,jorpet,zwei,4,NA,NA
b,hanhan,eins,5,NA,NA
b,chrols,eins,9,NA,NA
b,juljoh,eins,9,NA,NA
b,hanuli,eins,14,NA,NA
b,larand,eins,12,NA,NA
b,klekle,eins,14,NA,NA
b,johjah,eins,11,NA,NA
b,framag,eins,12,NA,NA
b,oscbja,eins,12,NA,NA
b,ingsam,eins,12,NA,NA
b,hanjoh,eins,12,NA,NA
b,johand,eins,12,NA,NA
b,ololar,eins,12,NA,NA
b,larlar,eins,12,NA,NA
b,adokar,eins,12,NA,NA
b,axejoh,eins,12,NA,NA
b,carbee,eins,14,NA,NA
b,karbry,eins,14,NA,NA
geonew,b,NA,NA,NA,2
c,robsco,eins,1,2,NA
c,albarm,eins,3,NA,NA
c,charoy,eins,4,NA,NA
c,micbar,eins,5,NA,NA
c,ernsha,eins,6,NA,NA
c,geomul,eins,6,NA,NA
c,regske,eins,9,8,NA
c,regkoe,eins,10,7,NA
c,edwwil,eins,10,NA,NA
c,thohod,eins,7,NA,NA
c,harfer,eins,7,NA,NA
c,louber,eins,7,NA,NA
c,thofea,eins,14,NA,NA
c,jamdel,eins,9,NA,NA
c,fredai,eins,14,NA,NA
c,chafor,eins,14,NA,NA
c,jaccro,eins,14,NA,NA
c,edgeva,eins,14,NA,NA
c,wilsmy,eins,14,NA,NA
c,davall,eins,14,NA,NA
c,thoken,eins,14,NA,NA
c,wilmac,eins,14,NA,NA
c,gilsco,eins,14,NA,NA
c,artbli,eins,14,NA,NA
c,wilcla,eins,11,NA,NA
c,clahar,eins,14,NA,NA
c,horbuc,eins,7,NA,NA
c,artpil,eins,12,NA,NA
c,wilhea,eins,12,NA,NA
c,jamdel1,eins,12,9,NA
c,frawil,eins,12,NA,NA
c,thowil,eins,12,NA,NA
c,geocro,eins,12,NA,NA
c,ernjoy,eins,12,NA,NA
c,thocre,eins,12,NA,NA
c,jeshan,eins,12,NA,NA
c,wilwel,eins,13,NA,NA
c,wilpet,eins,12,NA,NA
c,johwal,eins,12,NA,NA
c,jamdun,eins,12,14,NA
c,henbre,eins,11,NA,NA
c,geovin,zwei,12,NA,NA
c,chabon,zwei,12,NA,NA
c,willas,eins,14,NA,NA
c,artqua,eins,14,NA,NA
c,thowhi,eins,14,NA,NA
c,fraplu,eins,14,NA,NA
c,wilpag,eins,14,NA,NA
c,wilhub,eins,9,NA,NA
brgov,c,NA,NA,NA,1
llelon,c,NA,NA,NA,3
rgs,c,NA,NA,NA,2
