from,to ,death,team_1,team_zwei,motivation,tn_uk
a,adrger,eins,eins,null,null,null
a,geolec,eins,zwei,zwei,null,null
a,roaamu,eins,zwei,null,null,null
a,henarc,eins,drei,null,null,null
a,emidan,zwei,drei,null,null,null
a,emirac,eins,drei,null,null,null
a,frecoo,eins,drei,drei,null,null
a,antdob,eins,drei,null,null,null
a,julmel,eins,zwei,null,null,null
a,hensom,eins,drei,null,null,null
a,maxrys,eins,drei,null,null,null
a,loumic,eins,drei,null,null,null
a,adatol,eins,vier,null,null,null
a,ludjoh,eins,vier,null,null,null
a,engknu,eins,vier,null,null,null
a,gusduf,eins,vier,null,null,null
a,jeamir,eins,vier,null,null,null
a,carwie,zwei,vier,null,null,null
a,johkor,eins,vier,drei,null,null
beroy,a,null,null,null,eins,null
b,carbor,eins,eins,null,null,eins
b,louber,eins,drei,null,null,eins
b,wilcol,eins,drei,null,null,eins
b,nichan,zwei,drei,null,null,eins
b,herklo,eins,drei,null,null,eins
b,hugeva,eins,drei,null,null,eins
b,antfou,eins,drei,null,null,eins
b,kolell,eins,drei,vier,null,eins
b,olemus,eins,drei,null,null,eins
b,persav,eins,drei,null,null,eins
b,berjen,eins,zwei,null,null,eins
b,jorpet,zwei,zwei,null,null,eins
b,hanhan,eins,zwei,null,null,eins
b,chrols,eins,drei,null,null,eins
b,juljoh,eins,drei,null,null,eins
b,hanuli,eins,vier,null,null,eins
b,larand,eins,vier,null,null,eins
b,klekle,eins,vier,null,null,eins
b,johjah,eins,drei,null,null,eins
b,framag,eins,vier,null,null,eins
b,oscbja,eins,vier,null,null,eins
b,ingsam,eins,vier,null,null,eins
b,hanjoh,eins,vier,null,null,eins
b,johand,eins,vier,null,null,eins
b,ololar,eins,vier,null,null,eins
b,larlar,eins,vier,null,null,eins
b,adokar,eins,vier,null,null,eins
b,axejoh,eins,vier,null,null,eins
b,carbee,eins,vier,null,null,eins
b,karbry,eins,vier,null,null,eins
geonew,b,null,null,null,zwei,eins
c,robsco,eins,eins,zwei,null,eins
c,albarm,eins,zwei,null,null,eins
c,charoy,eins,zwei,null,null,eins
c,micbar,eins,zwei,null,null,eins
c,ernsha,eins,zwei,null,null,eins
c,geomul,eins,zwei,null,null,eins
c,regske,eins,drei,drei,null,eins
c,regkoe,eins,drei,drei,null,eins
c,edwwil,eins,drei,null,null,eins
c,thohod,eins,drei,null,null,eins
c,harfer,eins,drei,null,null,eins
c,louber,eins,drei,null,null,eins
c,thofea,eins,vier,null,null,eins
c,jamdel,eins,drei,null,null,eins
c,fredai,eins,vier,null,null,eins
c,chafor,eins,vier,null,null,eins
c,jaccro,eins,vier,null,null,eins
c,edgeva,eins,vier,null,null,eins
c,wilsmy,eins,vier,null,null,eins
c,davall,eins,vier,null,null,eins
c,thoken,eins,vier,null,null,eins
c,wilmac,eins,vier,null,null,eins
c,gilsco,eins,vier,null,null,eins
c,artbli,eins,vier,null,null,eins
c,wilcla,eins,drei,null,null,eins
c,clahar,eins,vier,null,null,eins
c,horbuc,eins,drei,null,null,eins
c,artpil,eins,vier,null,null,eins
c,wilhea,eins,vier,null,null,eins
c,jamdel1,eins,vier,drei,null,eins
c,frawil,eins,vier,null,null,eins
c,thowil,eins,vier,null,null,eins
c,geocro,eins,vier,null,null,eins
c,ernjoy,eins,vier,null,null,eins
c,thocre,eins,vier,null,null,eins
c,jeshan,eins,vier,null,null,eins
c,wilwel,eins,drei,null,null,eins
c,wilpet,eins,vier,null,null,eins
c,johwal,eins,vier,null,null,eins
c,jamdun,eins,vier,vier,null,eins
c,henbre,eins,drei,null,null,eins
c,geovin,zwei,vier,null,null,eins
c,chabon,zwei,vier,null,null,eins
c,willas,eins,vier,null,null,eins
c,artqua,eins,vier,null,null,eins
c,thowhi,eins,vier,null,null,eins
c,fraplu,eins,vier,null,null,eins
c,wilpag,eins,vier,null,null,eins
c,wilhub,eins,drei,null,null,eins
brgov,c,null,null,null,eins,eins
llelon,c,null,null,null,drei,eins
rgs,c,null,null,null,zwei,eins
alfhar,c,null,null,null,drei,eins
q,ernsha,zwei,eins,null,null,eins
q,frawil,eins,zwei,null,null,eins
q,frawor,eins,zwei,null,null,eins
q,aleker,eins,drei,null,null,eins
q,jammci,eins,drei,drei,null,eins
q,alemac,eins,drei,vier,null,eins
q,leohus,eins,drei,drei,null,eins
q,chagre,eins,drei,null,null,eins
q,thomcl,eins,vier,null,null,eins
q,rodcar,eins,drei,null,null,eins
q,jamdel1,eins,drei,null,null,eins
q,hubwil,eins,drei,null,null,eins
q,geodou,eins,drei,null,null,eins
q,jammar,eins,drei,null,null,eins
q,normoo,eins,drei,null,null,eins
q,doujef,eins,drei,null,null,eins
q,eeeeri,eins,drei,null,null,eins
q,johbee,eins,drei,null,null,eins
q,cccsmi,eins,drei,null,null,eins
q,harwat,eins,drei,null,null,eins
q,gggross,eins,vier,null,null,eins
q,sssyou,eins,vier,null,null,eins
q,hararg,eins,vier,null,null,eins
q,chrnai,eins,drei,null,null,eins
johrow,q,null,null,null,drei,eins
jeacha,g,eins,eins,drei,null,null
edosim,g,null,null,null,zwei,null
bes,g,eins,vier,null,null,null
echo,g,eins,zwei,null,null,null
pday,g,eins,drei,null,null,null
erngou,g,eins,drei,null,null,null
gou,g,eins,drei,null,null,null
fgue,g,eins,vier,null,null,null
jgue,g,eins,vier,null,null,null
fher,g,eins,vier,null,null,null
jjab,g,eins,vier,null,null,null
